hypothesis_id,research_object,statement,status,falsifier,evidence_for,evidence_against,registered_at,last_updated
SFI-A-H01,SFI-A,"Operational individuation can be estimated from persistent state/boundary relations without presupposing metaphysical identity.",open_general,"No operational boundary/persistence formulation discriminates target entities above chance or baseline across specified test cases.",,,2026-08-19,2026-08-20
SFI-A-CH01,SFI-A,"Instantaneous similarity is sufficient; persistence/history adds no out-of-sample value for individuation.",open_general,"Persistence/history produces reproducible held-out gains under matched complexity and leakage controls.",,,2026-08-19,2026-08-20
SFI-A-AI-H01,SFI-A-AI-PRIMARY,"A composite identity relation using relational, boundary/authority, response, and lineage evidence predicts operational continuity better than nominal identifier/version continuity.",open,"Composite H_id fails to outperform identifier/version baselines out of sample or gains vanish under matched-complexity controls.",,,2026-08-20,2026-08-20
SFI-A-AI-H02,SFI-A-AI-PRIMARY,"Model identity alone is insufficient for at least one preregistered class of operational continuity decisions.",open,"Model/hash continuity performs equivalently to the composite framework across all preregistered perturbation classes.",,,2026-08-20,2026-08-20
SFI-A-AI-H03,SFI-A-AI-PRIMARY,"Trajectory/history contributes incremental information in some perturbation classes after controlling for present configuration.",open,"Present+history provides no reproducible held-out gain over matched present-state-only models or gains disappear under time permutation.",,,2026-08-20,2026-08-20
SFI-A-AI-CH01,SFI-A-AI-PRIMARY,"Conventional identifier/version continuity is sufficient for operationally relevant AI identity decisions.",open,"Composite non-nominal continuity evidence reproducibly outperforms identifier/version continuity under preregistered perturbations.",,,2026-08-20,2026-08-20
SFI-A-AI-CH02,SFI-A-AI-PRIMARY,"Model identity explains essentially all useful operational continuity; other evidence families add negligible value.",open,"Authority, memory, tools, provenance, response, or boundary variables add reproducible incremental information beyond model identity.",,,2026-08-20,2026-08-20
SFI-A-AI-CH03,SFI-A-AI-PRIMARY,"No transferable operational identity relation exists; classification is irreducibly purpose/domain-specific.",open,"A frozen relation transfers with bounded error across preregistered AI contexts and at least one external domain.",,,2026-08-20,2026-08-20
SFI-A-BIO-H01,A-TRANSFER-BIO,"History/persistence variables add reconstructive value for biological lineage continuity beyond instantaneous similarity.",transfer_only,"History/persistence fails to outperform instantaneous baselines in the held-out biological lineage benchmark.",,,2026-08-20,2026-08-20
SFI-B-H01,SFI-B,"Governance completeness does not imply observability of state transitions in human-AI systems.",open,"Systems with governance controls consistently reconstruct state/intervention/transition/result traces without additional observability instrumentation.",,,2026-08-19,2026-08-20
SFI-B-CH01,SFI-B,"Governance artifacts already encode sufficient observability for reconstructing human-AI transitions.",open,"Governance-only reconstruction is reproducibly inferior to structured lineage under preregistered equivalence criteria.",,,2026-08-19,2026-08-20
SFI-B-CH02,SFI-B,"Any reconstruction gain comes from increased information volume rather than observability structure.",open,"Structured lineage outperforms information-volume-matched unstructured evidence.",,,2026-08-19,2026-08-20
SFI-C0-H01,SFI-C0,"Transition cost depends on persistent constraints and cannot be reduced to instantaneous state difference alone.",frozen_prospective,"After controlling for state difference, persistence/history terms add no predictive or explanatory value across preregistered domains.",,,2026-08-19,2026-08-20
SFI-C0-H02,SFI-C0,"Pre-emergent information is detectable as structured constraint persistence before a regime transition.",frozen_prospective,"No preregistered pre-transition measure exceeds matched null/baseline models out of sample.",,,2026-08-19,2026-08-20
SFI-C0-CH01,SFI-C0,"Apparent system friction is ordinary path dependence/model complexity and requires no new construct.",frozen_prospective,"SFT-specific quantities show incremental preregistered explanatory value beyond matched path-dependence baselines across domains.",,,2026-08-19,2026-08-20
SFI-C0-CH02,SFI-C0,"Pre-emergent information is an artifact of temporal leakage or post-hoc transition definition.",frozen_prospective,"Prospectively defined statistics outperform shuffled-time and leakage-resistant baselines on held-out transitions.",,,2026-08-19,2026-08-20
